event_id,stations,network_time,ref_time,signal_type,feature_0,feature_1a,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_10,feature_11,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_24,feature_25,feature_27,feature_28,feature_29,feature_30,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_68,feature_70,feature_71
20101225T151646Z,"['2C.BB16.', '2C.BB11.', '2C.BB01.', '2C.BB15.', '2C.BB04.', '2C.BB07.', '2C.BB12.', '2C.BB17.', '2C.BB03.', '2C.BB08.', '2C.BB13.']",5.865946803,2010-12-25T15:16:46.742027Z,amplitude,0.506681802,0.764996553,0.976996857,0.960929109,0.797216115,-0.767381481,-0.708829633,-0.788217164,-0.737546935,0.571739304,0.570750911,0.167466508,1.438787017,1.073644429,1.24092681,0.469132829,-1.019493036,-0.762546925,0.175063822,-0.155677128,0.22466535,0.922619712,0.898961705,-0.524010363,0.609680268,-0.706985225,0.773083509,0.887110861,0.538817198,1.04240633,0.056449506,-0.285342341,-0.415070216,-0.275605593,-1.082350646,-2.533215001,-0.156957737
20101225T152105Z,"['2C.BB12.', '2C.BB08.', '2C.BB16.', '2C.BB15.', '2C.BB07.']",5.865946803,2010-12-25T15:21:05.737973Z,amplitude,1.520045407,0.081297646,1.061724283,0.995084806,-0.307086524,-0.536233275,-0.52775703,-0.527952136,-0.512008676,-0.434901332,-0.43642503,0.142684383,0.885099416,0.555016929,1.151574443,0.299451685,-0.618983752,-0.257350499,0.82552815,-0.123268665,0.212770016,0.603277683,0.229871856,-0.197496599,-0.533177102,-0.50886129,0.303290178,0.21951185,-0.451830916,-0.470216082,-0.701958538,-0.281184505,-1.241636443,-0.277838636,0.643202379,-2.785876071,0.463209802
20101225T152511Z,"['2C.BB15.', '2C.BB13.', '2C.BB04.', '2C.BB03.', '2C.BB01.', '2C.BB11.', '2C.BB10.', '2C.BB12.']",5.865946803,2010-12-25T15:25:11.452027Z,amplitude,2.28006811,0.398463266,1.41864915,1.645469042,0.978080637,-0.395699903,-0.523102401,-0.327344208,-0.459948249,-0.195062308,-0.195361867,0.002298504,1.022503211,0.606597609,1.222297031,0.150085074,-0.280280197,-0.721435591,0.633138471,-0.901512377,0.132448304,0.765642674,0.512909499,-0.237778245,-0.001936449,-0.48814546,0.417318775,0.502933071,-0.017497384,0.128434634,-0.074154995,-0.970923102,-0.057473747,-0.966590088,0.841453124,-1.607546947,0.286716888
20101225T152734Z,"['2C.BB07.', '2C.BB08.', '2C.BB13.']",5.865946803,2010-12-25T15:27:34.107027Z,amplitude,0.253340901,-0.30335022,-1.066983378,-1.033406471,2.572021307,1.067617797,1.303728957,0.970441189,1.214902935,-0.463975551,-0.465735269,-1.516148293,-0.062244235,0.158785961,0.648599041,0.063696053,1.188327149,-0.622118027,0.371906533,-0.945144463,0.172890952,0.118153943,-0.961981032,0.941637796,-1.071032403,0.142416576,-1.142038576,-0.936456335,-0.590212387,-0.850043045,-0.491299848,-0.631701417,1.077564929,-0.640085956,1.164899744,0.308912448,0.650276844
20101225T153131Z,"['2C.BB13.', '2C.BB16.', '2C.BB07.', '2C.BB17.', '2C.BB03.', '2C.BB01.', '2C.BB11.', '2C.BB10.', '2C.BB15.', '2C.BB12.', '2C.BB04.']",5.865946803,2010-12-25T15:31:31.412027Z,amplitude,1.013363604,0.501349609,1.828207513,1.767887909,-0.276373666,-0.909038609,-0.886613937,-0.925651581,-0.873168738,0,0,0.119974696,1.134237396,0.729524741,0.91514295,0.161083861,-0.947713656,-0.72713872,0.144576763,-0.752299266,0.612431333,0.660936383,0.56484216,-0.615575171,0.348727252,-0.702607771,0.696666693,0.552452367,0.109375536,-0.392139232,0.101300097,-0.230063297,-1.40933639,-0.225841951,0.626693383,-1.687807106,0.382457118
20101225T153358Z,"['2C.BB08.', '2C.BB13.', '2C.BB15.', '2C.BB16.', '2C.BB12.']",5.865946803,2010-12-25T15:33:58.872026Z,amplitude,-0.253340901,0.175988102,2.510432539,2.544774428,0.296623414,-1.369810117,-1.321052545,-1.373561741,-1.342788378,-0.071116006,-0.071169713,-0.092213614,1.039183906,0.453841011,0.841240735,0.20344841,-0.856751507,-1.016394429,0.137162975,0.137387405,-0.077501867,0.665837994,0.54969892,-0.344024336,-0.605239531,-0.422814251,0.638749299,0.532703877,-0.007054027,-0.096935566,0.301584392,0.656172065,1.078768233,0.65825376,-0.669489626,-2.928526589,0.335973233
20101225T153627Z,"['2C.BB11.', '2C.BB04.', '2C.BB07.', '2C.BB03.', '2C.BB01.', '2C.BB10.', '2C.BB08.', '2C.BB16.']",5.865946803,2010-12-25T15:36:27.997026Z,amplitude,0,0.779506561,1.325421452,1.280903284,-0.400125798,-0.751358435,-0.78087046,-0.729844034,-0.76156448,-0.258296539,-0.258810557,0.025183582,1.073211437,0.583769507,0.874786523,0.227827137,-1.109652215,-0.673289048,0.420971939,0.144889313,-0.181975229,0.721537084,0.547890777,-0.278389928,-0.024393279,-0.436913029,0.450450975,0.536124653,0.064596567,-0.010928493,0.478604532,0.005294406,0.951084703,-0.000375268,-0.041550672,-0.658738153,-0.374175368
20101225T154002Z,"['2C.BB17.', '2C.BB13.', '2C.BB16.', '2C.BB03.', '2C.BB04.', '2C.BB15.', '2C.BB01.']",5.865946803,2010-12-25T15:40:02.567973Z,amplitude,-0.506681802,-0.183300778,1.506164348,1.642918053,-0.317922545,-0.724805451,-0.757429289,-0.680215209,-0.737796401,-0.006499984,-0.006502576,-0.297888449,0.608934486,0.043673547,0.863130118,0.079068651,-1.275422989,-0.532927983,0.470446971,-0.938031707,0.203412937,0.596802216,0.142214841,-0.327284541,0.789786312,-0.51191297,0.318834426,0.136092714,-0.352257325,-0.165631117,-0.261169619,-0.343439846,-0.085523893,-0.345463511,1.182300022,-0.008585925,0.597536082
20101225T154239Z,"['2C.BB11.', '2C.BB07.', '2C.BB10.', '2C.BB01.', '2C.BB12.']",5.865946803,2010-12-25T15:42:39.472973Z,amplitude,0.253340901,0.306587881,1.392347731,1.577551149,0.44194711,-0.642257665,-0.698401621,-0.610033765,-0.669882972,0.157438032,0.157378868,-0.035583473,0.970228191,0.36400255,0.661691962,0.321995346,-0.925780554,-0.461276725,0.281153101,-0.056914083,-0.354451112,0.579907035,0.471104403,-0.568105237,-0.036423298,-0.742861614,0.577249242,0.465872224,-0.045660628,0.015773905,-0.027295786,-0.211471444,-2.602958253,-0.214229452,0.45505324,-3.504835549,0.313368306
20101225T154342Z,"['2C.BB08.', '2C.BB04.', '2C.BB03.', '2C.BB10.']",5.865946803,2010-12-25T15:43:42.127027Z,amplitude,1.266704506,-0.10956165,1.02985011,1.12631973,-0.060539851,-0.644683211,-0.723420581,-0.590426574,-0.673175199,0,0,-0.095640235,0.739420798,-0.104964648,0.625730982,-0.091320223,-0.724041625,-0.784356423,0.806795442,-0.743659625,0.340829782,0.310747605,0.280546272,-0.690142663,-0.188266412,-0.882842778,0.364602493,0.263274535,-0.464864233,-0.232702001,-0.314966272,1.141612966,-0.092636656,1.13639471,0.306794135,-2.362113253,-0.087180024
20101225T154436Z,"['2C.BB01.', '2C.BB16.', '2C.BB13.', '2C.BB07.', '2C.BB11.', '2C.BB12.', '2C.BB03.']",5.865946803,2010-12-25T15:44:36.607027Z,amplitude,1.013363604,0.059234914,1.315602788,1.200775,0.204009755,-1.035979117,-1.007623329,-1.037759194,-1.017790155,0.336647669,0.33629426,-0.224729507,0.7195552,0.176467058,0.911160207,0.20427916,0.165268203,-0.578927699,0.409558818,-0.764342993,-0.147792274,0.614321529,0.129297348,-0.429755214,-0.707829158,-0.529148567,0.130964688,0.11745836,-0.411066397,0.104511569,-0.241728974,-0.212074087,0.604106342,-0.216825879,0.652355845,-1.550656602,0.554715018
20101225T154812Z,"['2C.BB08.', '2C.BB13.', '2C.BB16.']",5.865946803,2010-12-25T15:48:12.107973Z,amplitude,-0.506681802,-0.618868904,-0.082584528,0.052031996,0.420491677,-0.484045032,-0.466005494,-0.456739894,-0.453351782,-0.165118232,-0.165338576,-0.47889028,0.379870289,-0.076474435,0.573581245,0.281226216,-0.185947078,-0.471272838,0.803099095,-0.379313662,-0.225789643,0.578581506,-0.042972814,0.190012197,-1.358732595,0.132671885,-0.192433007,-0.046180144,-0.218026196,-0.624249057,-0.209392522,1.074211236,0.903817811,1.074084479,0.9579277,-0.057096671,0.408470445
20101225T155151Z,"['2C.BB04.', '2C.BB10.', '2C.BB03.', '2C.BB07.', '2C.BB11.', '2C.BB16.', '2C.BB08.', '2C.BB13.']",5.865946803,2010-12-25T15:51:51.257027Z,amplitude,-0.506681802,0.637541772,0.968166065,0.789377845,0.751025774,-0.1387623,-0.08400623,-0.143680812,-0.070449599,0.881700337,0.879608466,0.185283774,0.977927194,0.198025834,0.695736828,0.367896197,-1.121331089,-0.246509789,0.252432479,-0.751693502,-0.615072517,0.468941344,0.69536282,-0.656341584,0.375571982,-0.521281121,0.710289268,0.697151315,0.304751753,0.547101746,0.365244854,1.114992105,-0.638916393,1.118447906,-0.325422474,-3.313944039,-0.251107211
20101225T155426Z,"['2C.BB07.', '2C.BB04.', '2C.BB17.', '2C.BB16.', '2C.BB15.', '2C.BB01.', '2C.BB11.', '2C.BB13.', '2C.BB10.', '2C.BB08.', '2C.BB12.']",5.865946803,2010-12-25T15:54:26.962027Z,amplitude,-0.253340901,0.330486976,1.727366587,1.495072409,0.027437638,-0.9051832,-0.907851008,-0.873009205,-0.900890895,0.051575557,0.051580949,-0.089631411,0.687985653,-0.070687486,0.749884434,0.21492415,-1.016345637,-0.761759478,0.55103716,-0.783397174,-0.40522663,0.492991736,0.256366573,-0.265457735,-0.905684075,-0.352926396,0.372255982,0.244265811,-0.240277956,-0.122412855,-0.120225604,-1.178054626,-0.023976548,-1.167352678,0,-4.129881438,0.3025554
