event_id,stations,ref_time,ref_duration,ref_amplitude,known_seismicity_labels
20101217T045311Z,"['2C.BB12.', '2C.BB03.', '2C.BB10.']",2010-12-17T04:53:11.782973Z,3.155,464.7783746,
20101217T052302Z,"['2C.BB06.', '2C.BB12.', '2C.BB07.']",2010-12-17T05:23:02.487027Z,7.945947,473.9907632,
20101217T053203Z,"['2C.BB16.', '2C.BB15.', '2C.BB01.']",2010-12-17T05:32:03.032026Z,17.975947,562.6493276,
20101217T060831Z,"['2C.BB15.', '2C.BB12.', '2C.BB07.', '2C.BB17.']",2010-12-17T06:08:31.172973Z,51.46,999.1078419,
20101217T061740Z,"['2C.BB15.', '2C.BB07.', '2C.BB12.', '2C.BB03.', '2C.BB10.']",2010-12-17T06:17:40.402027Z,258.460947,2641.273701,
20101217T062306Z,"['2C.BB03.', '2C.BB10.', '2C.BB16.']",2010-12-17T06:23:06.132026Z,20.020947,462.2949766,
20101217T063219Z,"['2C.BB16.', '2C.BB10.', '2C.BB15.']",2010-12-17T06:32:19.402974Z,1.82,304.655017,
20101217T064838Z,"['2C.BB10.', '2C.BB07.', '2C.BB08.']",2010-12-17T06:48:38.497027Z,37.215947,672.2807379,
20101217T072237Z,"['2C.BB10.', '2C.BB17.', '2C.BB07.']",2010-12-17T07:22:37.527027Z,46.785947,822.4908449,
20101217T074401Z,"['2C.BB15.', '2C.BB16.', '2C.BB07.']",2010-12-17T07:44:01.872973Z,1.485,230.2563826,
20101217T074547Z,"['2C.BB16.', '2C.BB15.', '2C.BB12.', '2C.BB13.', '2C.BB07.']",2010-12-17T07:45:47.292026Z,44.580947,1065.11779,
20101217T074903Z,"['2C.BB01.', '2C.BB07.', '2C.BB13.']",2010-12-17T07:49:03.502973Z,2.47,493.4206005,
20101217T075726Z,"['2C.BB07.', '2C.BB08.', '2C.BB15.', '2C.BB01.']",2010-12-17T07:57:26.827027Z,57.815947,1270.182901,
20101217T083302Z,"['2C.BB12.', '2C.BB08.', '2C.BB07.', '2C.BB13.']",2010-12-17T08:33:02.592026Z,39.390947,763.3607894,TELESEISM II
20101217T083539Z,"['2C.BB15.', '2C.BB08.', '2C.BB07.']",2010-12-17T08:35:39.177027Z,13.435947,519.2385722,
20101217T091104Z,"['2C.BB01.', '2C.BB15.', '2C.BB08.']",2010-12-17T09:11:04.342973Z,67.99,1512.684436,
20101217T091520Z,"['2C.BB07.', '2C.BB01.', '2C.BB08.']",2010-12-17T09:15:20.432973Z,25.675,695.0558521,
20101217T093206Z,"['2C.BB07.', '2C.BB15.', '2C.BB08.', '2C.BB01.']",2010-12-17T09:32:06.177027Z,65.520947,1503.870442,
20101217T095745Z,"['2C.BB07.', '2C.BB15.', '2C.BB08.']",2010-12-17T09:57:45.367973Z,28.85,697.6435955,
