event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
20101216T093306Z,"['2C.BB16.', '2C.BB08.', '2C.BB01.']",5.86594680276,2010-12-16T09:33:06.907973Z,2.01,301.759123047,58339.7673036,amplitude
20101216T133442Z,"['2C.BB13.', '2C.BB16.', '2C.BB01.', '2C.BB08.', '2C.BB07.', '2C.BB12.', '2C.BB15.', '2C.BB17.', '2C.BB11.', '2C.BB03.', '2C.BB06.', '2C.BB14.', '2C.BB10.', '2C.BB04.']",5.86594680276,2010-12-16T13:34:42.847027Z,334.900947,186248.624244,1.29967155233e+12,amplitude
20101216T134359Z,"['2C.BB10.', '2C.BB04.', '2C.BB03.', '2C.BB14.', '2C.BB07.', '2C.BB01.']",5.86594680276,2010-12-16T13:43:59.707027Z,125.720947,51210.3201436,55890422054.6,amplitude
20101216T214545Z,"['2C.BB07.', '2C.BB10.', '2C.BB08.']",5.86594680276,2010-12-16T21:45:45.642027Z,167.865947,2648.4359162,302392660.294,amplitude
20101216T235027Z,"['2C.BB07.', '2C.BB12.', '2C.BB06.', '2C.BB01.']",5.86594680276,2010-12-16T23:50:27.492026Z,60.955947,1704.19439959,45727472.952,amplitude
20101217T004246Z,"['2C.BB08.', '2C.BB10.', '2C.BB14.', '2C.BB12.']",5.86594680276,2010-12-17T00:42:46.357027Z,165.975947,4540.94702585,2802327638.98,amplitude
20101217T005117Z,"['2C.BB10.', '2C.BB12.', '2C.BB07.']",5.86594680276,2010-12-17T00:51:17.732027Z,33.335947,601.990860784,3329058.27659,amplitude
20101217T010709Z,"['2C.BB06.', '2C.BB12.', '2C.BB07.', '2C.BB10.']",5.86594680276,2010-12-17T01:07:09.672027Z,249.140947,4421.81707507,1779522644.2,amplitude
20101217T011244Z,"['2C.BB06.', '2C.BB10.', '2C.BB07.']",5.86594680276,2010-12-17T01:12:44.007027Z,0.970947,222.835045774,13961.2505442,amplitude
20101217T011711Z,"['2C.BB06.', '2C.BB10.', '2C.BB07.', '2C.BB16.', '2C.BB12.']",5.86594680276,2010-12-17T01:17:11.867973Z,256.84,4523.47802848,1222152512.53,amplitude
20101217T013125Z,"['2C.BB10.', '2C.BB12.', '2C.BB07.', '2C.BB16.']",5.86594680276,2010-12-17T01:31:25.472027Z,82.210947,1238.05600137,36299693.7229,amplitude
20101217T015020Z,"['2C.BB03.', '2C.BB01.', '2C.BB07.']",5.86594680276,2010-12-17T01:50:20.522027Z,58.705947,1276.01666703,23858139.7656,amplitude
20101217T022317Z,"['2C.BB14.', '2C.BB12.', '2C.BB07.']",5.86594680276,2010-12-17T02:23:17.452027Z,2.110947,338.058146489,83135.3827634,amplitude
20101217T025446Z,"['2C.BB15.', '2C.BB06.', '2C.BB07.']",5.86594680276,2010-12-17T02:54:46.162027Z,43.955947,831.533789036,7525825.42905,amplitude
20101217T025914Z,"['2C.BB10.', '2C.BB06.', '2C.BB14.']",5.86594680276,2010-12-17T02:59:14.817027Z,29.515946,462.700040248,1823730.6574,amplitude
20101217T030721Z,"['2C.BB14.', '2C.BB10.', '2C.BB07.']",5.86594680276,2010-12-17T03:07:21.202027Z,110.735947,1220.45456913,33393644.1747,amplitude
20101217T033955Z,"['2C.BB07.', '2C.BB03.', '2C.BB10.']",5.86594680276,2010-12-17T03:39:55.597027Z,15.400947,535.308785295,1331966.67653,amplitude
20101217T035812Z,"['2C.BB06.', '2C.BB12.', '2C.BB03.']",5.86594680276,2010-12-17T03:58:12.552026Z,19.555947,603.083551091,1873835.47104,amplitude
20101217T041250Z,"['2C.BB06.', '2C.BB07.', '2C.BB03.', '2C.BB12.']",5.86594680276,2010-12-17T04:12:50.182973Z,17.02,538.08705228,1670705.46418,amplitude
20101217T043215Z,"['2C.BB06.', '2C.BB16.', '2C.BB07.']",5.86594680276,2010-12-17T04:32:15.282974Z,2.095,360.235012551,100131.018306,amplitude
20101217T044142Z,"['2C.BB10.', '2C.BB15.', '2C.BB03.']",5.86594680276,2010-12-17T04:41:42.872026Z,5.725947,355.506598724,331574.138262,amplitude
20101217T044502Z,"['2C.BB06.', '2C.BB12.', '2C.BB07.']",5.86594680276,2010-12-17T04:45:02.572973Z,3.885,406.474053773,285004.535692,amplitude
20101217T045311Z,"['2C.BB12.', '2C.BB03.', '2C.BB10.']",5.86594680276,2010-12-17T04:53:11.782973Z,3.155,464.778374597,312175.481361,amplitude
20101217T052302Z,"['2C.BB06.', '2C.BB12.', '2C.BB07.']",5.86594680276,2010-12-17T05:23:02.487027Z,7.945947,473.990763183,692837.052451,amplitude
20101217T053203Z,"['2C.BB16.', '2C.BB15.', '2C.BB01.']",5.86594680276,2010-12-17T05:32:03.032026Z,17.975947,562.649327557,1541719.54035,amplitude
20101217T060831Z,"['2C.BB15.', '2C.BB12.', '2C.BB07.', '2C.BB17.']",5.86594680276,2010-12-17T06:08:31.172973Z,51.46,999.107841897,14002367.2669,amplitude
20101217T061740Z,"['2C.BB15.', '2C.BB07.', '2C.BB12.', '2C.BB03.', '2C.BB10.']",5.86594680276,2010-12-17T06:17:40.402027Z,258.460947,2641.27370082,527383597.053,amplitude
20101217T062306Z,"['2C.BB03.', '2C.BB10.', '2C.BB16.']",5.86594680276,2010-12-17T06:23:06.132026Z,20.020947,462.294976555,1069570.24218,amplitude
20101217T063219Z,"['2C.BB16.', '2C.BB10.', '2C.BB15.']",5.86594680276,2010-12-17T06:32:19.402974Z,1.82,304.655017019,53602.4912968,amplitude
